model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,rating,year,brand_Google,brand_Infinix,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Vivo,brand_Xiaomi,os_iOS,processor_Dimensity 9300,processor_Exynos 2400,processor_Helio G99,processor_Snapdragon 6 Gen 1,processor_Snapdragon 7+ Gen 2,processor_Snapdragon 8 Gen 3,processor_Tensor G4,release_month_August,release_month_December,release_month_February,release_month_January,release_month_July,release_month_June,release_month_March,release_month_May,release_month_November,release_month_October,release_month_September
A98,855,16,128,108,6000,6.6,33,1,3.8,2025,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
11 Pro+,618,6,128,64,4500,6.9,100,1,4.4,2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Redmi Note 14 Pro,258,16,64,64,4000,6.8,44,1,4.1,2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
V29e,837,6,512,48,4500,6.0,65,1,4.1,2025,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
iPhone 16 Pro Max,335,12,128,200,5000,6.9,100,1,3.5,2025,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Nord 4,938,16,512,200,5000,6.2,120,0,3.7,2025,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
GT 20 Pro,418,12,256,64,6000,6.9,44,0,4.1,2025,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
iPhone 16 Pro Max,1447,16,64,64,4500,6.7,33,1,4.7,2025,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Hot 40,1354,6,1024,12,5500,5.7,18,1,4.0,2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
GT 7 Pro,311,8,1024,50,5500,6.9,44,1,4.4,2025,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
